Business Unit Name,Business Unit Code,Project ID,Title,Display Name,Statement Frequency,First Statement End Date,Creator,Co-Creator,Payment Threshold,Payment Window,Active,Series,Series Code,Net Price Must Exceed MFG Cost,Dated Added/Updated,Updated By,Notes,Passthrough Fees
TXF,TXF,107,12 Years in Hell,,Quarterly,2022-06-30,,,0.0,0,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,1,2 Aces and a Dirty Heart,,Quarterly,2022-06-30,,,0.0,45,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,89,773,,Quarterly,2022-06-30,,,0.0,0,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,96,80/20,80/20,Quarterly,2022-06-30,,,0.0,0,true,,,false,2022-09-03,lynn.is.50@gmail.com,,false
TXF,TXF,109,85 Central,,Quarterly,2022-06-30,,,0.0,0,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,97,A Detective Story,,Quarterly,2022-06-30,,,0.0,0,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,70,Adora,,Quarterly,2022-06-30,,,0.0,45,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,98,American Hood Story,,Quarterly,2022-06-30,,,0.0,0,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,,Anchor Baby,Anchor Baby,Quarterly,2023-03-31,,,0.0,45,true,,,false,2100-01-31,lynn.is.50@gmail.com,,false
TXF,TXF,111,A Part of the Game,,Quarterly,2022-06-30,,,0.0,0,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,88,Best Buds,,Quarterly,2022-06-30,,,0.0,0,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,66,Betrayed,,Quarterly,2022-06-30,,,0.0,45,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,,Black Slasher,Black Slasher,Quarterly,2022-12-31,,,0.0,45,true,,,false,2023-03-19,lynn.is.50@gmail.com,,false
TXF,TXF,2,Blended,,Quarterly,2022-06-30,,,0.0,0,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,60,Bloody Neighborhood,,Quarterly,2022-06-30,,,0.0,45,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,,Booked in the City,Booked in the City,Quarterly,2022-06-30,,,0.0,45,true,,,false,2100-01-31,lynn.is.50@gmail.com,,false
TXF,TXF,3,Boss,,Quarterly,2022-06-30,,,0.0,45,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,93,Boss 2,,Quarterly,2022-06-30,,,0.0,0,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,4,Boss Status,,Quarterly,2022-06-30,,,0.0,45,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,74,Brick City,,Quarterly,2022-06-30,,,0.0,45,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,6,Bullets Over Brownsville,,Quarterly,2022-06-30,,,0.0,45,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,,Changes in Queen City,Changes in Queen City,Quarterly,2023-12-31,,,0.0,45,true,,,false,2100-01-31,lynn.is.50@gmail.com,,false
TXF,TXF,84,Checkmate,,Quarterly,2022-06-30,,,0.0,0,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,9,Conspiracy Series Season 1,,Quarterly,2022-06-30,,,0.0,0,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,,Dangerous Creation,Dangerous Creation,Quarterly,2022-06-30,,,0.0,45,true,,,false,2100-01-31,lynn.is.50@gmail.com,,false
TXF,TXF,10,Da Story B4 Da Glory,,Quarterly,2022-06-30,,,0.0,45,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
TXF,TXF,,Dead Alive Stories,Dead Alive Stories,Quarterly,2023-12-31,,,0.0,45,true,,,false,2100-01-31,lynn.is.50@gmail.com,,false
TXF,TXF,77,Deposit,,Quarterly,2022-06-30,,,0.0,45,true,,,false,2022-09-03,lynn.is.50@gmail.com,,false
TXF,TXF,11,Diamond In The Rough,,Quarterly,2022-06-30,,,0.0,45,true,,,false,2022-08-27,lynn.is.50@gmail.com,,false
